block,trial_number,auditory_stimulus,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
1,1,norm_lookatthat,underarmthrow_s_5520,underarmthrow_u_5520,,,both,black-background,practice,fam
2,2,norm_wowthatscool,jumpingjacks_u_5520,jumpingjacks_s_5520,,,both,black-background,practice,fam
3,3,norm_noopspillsjuice,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,4,norm_noopeatsapple,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,5,norm_noopdrinksmilk,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,6,norm_noopkicksball,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,7,norm_noopdrinksjuice,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,8,norm_noopeatscookie,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,9,norm_wherethenoop,underarmthrow_u_5520,underarmthrow_s_5520,left,1,both,black-background,agent,test
4,10,norm_babydrinkskita,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,11,norm_boyeatskita,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,12,norm_doctorkickskita,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,13,norm_babyspillskita,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,14,norm_doctoreatskita,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,15,norm_girldrinkskita,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,16,norm_wherethekita,jumpingjacks_u_5520,jumpingjacks_s_5520,right,0,both,black-background,patient,test
5,17,norm_doctorkicksmodi,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,18,norm_girldrinksmodi,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,19,norm_boyeatsmodi,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,20,norm_babyspillsmodi,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,21,norm_babyeatsmodi,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,22,norm_doctordrinksmodi,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,23,norm_findthemodi,jumpingjacks_s_5520,jumpingjacks_u_5520,left,1,both,black-background,patient,test
6,24,norm_daxkicksball,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,25,norm_daxeatsapple,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,26,norm_daxdrinksmilk,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,27,norm_daxspillsjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,28,norm_daxeatscookie,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,29,norm_daxdrinksjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,30,norm_wherethedax,underarmthrow_s_5520,underarmthrow_u_5520,right,0,both,black-background,agent,test
7,31,norm_girldrinksblick,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,32,norm_babyspillsblick,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,33,norm_doctorkicksblick,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
