block,trial_number,auditory_stimulus,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
7,34,norm_boyeatsblick,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,35,norm_babydrinksblick,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,36,norm_doctoreatsblick,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,37,norm_findtheblick,jogging_u_5520,jogging_s_5520,right,0,both,black-background,patient,test
8,38,norm_cheemeatscookie,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,39,norm_cheemkicksball,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,40,norm_cheemdrinksjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,41,norm_cheemeatsapple,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,42,norm_cheemdrinksmilk,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,43,norm_cheemspillsjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,44,norm_findthecheem,walker_u_5520,walker_s_5520,left,1,both,black-background,agent,test
9,45,norm_tomaeatscookie,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,46,norm_tomaspillsjuice,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,47,norm_tomadrinksmilk,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,48,norm_tomaeatsapple,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,49,norm_tomakicksball,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,50,norm_tomadrinksjuice,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,51,norm_wherethetoma,jogging_s_5520,jogging_u_5520,right,0,both,black-background,agent,test
10,52,norm_boyeatswug,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,53,norm_girldrinkswug,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,54,norm_doctorkickswug,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,55,norm_babyspillswug,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,56,norm_babyeatswug,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,57,norm_doctordrinkswug,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,58,norm_findthewug,walker_s_5520,walker_u_5520,left,1,both,black-background,patient,test
