block,trial_number,auditory_stimulus,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
7,42,norm_doctorkicksdax,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,43,norm_boydrinksdax,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,44,norm_girleatsdax,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,47,norm_wherethedax,underarmthrow_s_5520,underarmthrow_u_5520,left,0,both,black-background,patient,test
8,48,norm_modieatscookie,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,49,norm_modispillsjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,50,norm_modidrinksmilk,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,51,norm_modieatsapple,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,52,norm_modikicksball,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,53,norm_modidrinksmilk,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
8,56,norm_findthemodi,jumpingjacks_s_5520,jumpingjacks_u_5520,right,1,both,black-background,agent,test
9,57,norm_kitadrinksjuice,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,58,norm_kitaeatsapple,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,59,norm_kitaspillsjuice,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,60,norm_kitaeatscookie,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,61,norm_kitakicksball,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,62,norm_kitadrinksjuice,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,agent,fam
9,65,norm_wherethekita,jumpingjacks_u_5520,jumpingjacks_s_5520,left,0,both,black-background,agent,test
10,66,norm_boyeatsnoop,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,67,norm_girldrinksnoop,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,68,norm_doctorkicksnoop,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,69,norm_babyspillsnoop,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,70,norm_doctoreatsnoop,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,71,norm_babydrinksnoop,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
10,74,norm_wherethenoop,underarmthrow_u_5520,underarmthrow_s_5520,right,1,both,black-background,patient,test
