block,trial_number,auditory_stimulus,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
1,1,norm_lookatthat,underarmthrow_s_5520,underarmthrow_u_5520,,,both,black-background,practice,fam
2,2,norm_wowthatscool,jumpingjacks_u_5520,jumpingjacks_s_5520,,,both,black-background,practice,fam
3,3,norm_wugeatscookie,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,4,norm_wugspillsjuice,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,5,norm_wugdrinksmilk,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,6,norm_wugkicksball,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,7,norm_wugdrinksjuice,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,8,norm_wugeatsapple,Clouds6,Clouds6,AG,,both,black-background,agent,fam
3,11,norm_findthewug,walker_s_5520,walker_u_5520,right,1,both,black-background,agent,test
4,12,norm_boyeatstoma,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,13,norm_girldrinkstoma,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,14,norm_doctorkickstoma,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,15,norm_babyspillstoma,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,16,norm_doctordrinkstoma,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,17,norm_babyeatstoma,Galaxies_3,Galaxies_3,AG,,both,black-background,patient,fam
4,20,norm_wherethetoma,jogging_s_5520,jogging_u_5520,left,0,both,black-background,patient,test
5,21,norm_babyeatscheem,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,22,norm_girldrinkscheem,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,23,norm_doctorkickscheem,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,24,norm_babyspillscheem,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,25,norm_boyeatscheem,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,26,norm_doctordrinkscheem,Clouds6,Clouds6,AG,,both,black-background,patient,fam
5,29,norm_findthecheem,walker_u_5520,walker_s_5520,right,1,both,black-background,patient,test
6,30,norm_blickeatscookie,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,31,norm_blickspillsjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,32,norm_blickdrinksmilk,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,33,norm_blickkicksball,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,34,norm_blickdrinksjuice,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,35,norm_blickeatsapple,Rainbow_4,Rainbow_4,AG,,both,black-background,agent,fam
6,38,norm_findtheblick,jogging_u_5520,jogging_s_5520,left,0,both,black-background,agent,test
7,39,norm_babydrinksdax,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,40,norm_doctoreatsdax,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
7,41,norm_babyspillsdax,Kaleidoscope6,Kaleidoscope6,AG,,both,black-background,patient,fam
